DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-02 01:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9272.0	2022-02-11 07:16:16
2022-01-02 02:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9157.0	2022-01-02 17:45:47
2022-01-02 03:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9248.0	2022-02-11 07:16:16
2022-01-02 04:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9627.0	2022-02-11 07:16:16
2022-01-02 05:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10433.0	2022-02-11 07:16:16
2022-01-02 06:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11283.0	2022-02-11 07:16:16
2022-01-02 07:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11627.0	2022-02-11 07:16:16
2022-01-02 08:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	12228.0	2022-02-11 07:16:16
2022-01-01 05:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10212.0	2022-02-10 07:16:12
2022-01-01 06:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10563.0	2022-02-10 07:16:12
2022-01-01 07:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10544.0	2022-02-10 07:16:12
2022-01-01 08:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10833.0	2022-02-10 07:16:12
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11169.0	2022-02-10 07:16:12
2022-01-01 10:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11405.0	2022-02-10 07:16:12
2022-01-01 11:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11535.0	2022-02-10 07:16:12
2022-01-01 12:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11100.0	2022-02-10 07:16:12
2022-01-01 13:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11142.0	2022-02-10 07:16:12
2022-01-01 14:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11419.0	2022-02-10 07:16:12
2022-01-01 15:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	12166.0	2022-02-10 07:16:12
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10583.0	2022-02-10 07:16:12
2022-01-01 01:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10054.0	2022-02-10 07:16:12
2022-01-01 02:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9573.0	2022-01-02 07:15:50
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9402.0	2022-02-10 07:16:12
2022-01-01 04:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9689.0	2022-02-10 07:16:12
2022-01-01 16:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	2033.0	2022-01-04 16:16:10
2022-01-01 17:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	2057.0	2022-01-04 16:16:10
2022-01-01 18:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	2077.0	2022-01-03 10:01:19
2022-01-01 19:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	2065.0	2022-01-04 14:00:52
2022-01-01 20:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	2060.0	2022-01-04 16:16:10
2022-01-01 21:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1972.0	2022-01-03 10:01:19
2022-01-01 22:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1797.0	2022-01-04 14:00:52
2022-01-01 23:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1619.0	2022-01-03 09:30:52
2022-01-02 00:00:00.000	PT60M	10YHR-HEP------M	CTA	HR CTA	HR	1493.0	2022-01-04 14:45:48
