DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 08:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	1104.32	2022-01-01 10:45:46
2022-01-01 09:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	1167.92	2022-01-01 22:45:49
2022-01-01 10:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	1204.18	2022-01-01 19:45:48
2022-01-01 00:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	980.86	2022-01-01 02:45:45
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	887.42	2022-01-01 03:45:46
2022-01-01 02:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	876.31	2022-01-01 04:45:48
2022-01-01 03:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	885.82	2022-01-01 05:45:45
2022-01-01 04:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	885.58	2022-01-01 06:45:45
2022-01-01 05:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	483.0	2022-01-01 07:16:05
2022-01-01 06:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	510.0	2022-01-01 08:15:52
2022-01-01 07:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	560.0	2022-01-01 09:15:50
2022-01-01 08:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	604.0	2022-01-01 10:15:51
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	625.0	2022-01-01 11:15:50
2022-01-01 10:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	635.0	2022-01-01 12:15:58
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	526.0	2022-01-01 02:15:46
2022-01-01 01:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	500.0	2022-01-01 03:15:49
2022-01-01 02:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	480.0	2022-01-01 04:15:51
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	478.0	2022-01-01 05:15:51
2022-01-01 04:00:00.000	PT60M	10Y1001A1001A990	CTA	MD CTA	MD	483.0	2022-01-01 06:15:51
2022-01-01 05:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1113.16	2022-01-01 08:00:54
2022-01-01 06:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1162.38	2022-01-01 09:00:56
2022-01-01 07:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1210.35	2022-01-01 10:01:00
2022-01-01 08:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1237.62	2022-01-01 11:00:57
2022-01-01 09:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1244.86	2022-01-01 12:00:59
2022-01-01 10:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1244.63	2022-01-01 13:00:56
2022-01-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1127.41	2022-01-01 03:00:52
2022-01-01 01:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1082.8	2022-01-01 04:00:47
