	DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime	_merge
3023	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	Hydro Pumped Storage	0.0		2022-01-01 06:01:42	left_only
3024	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	Fossil Gas	679.0		2022-01-01 06:01:42	left_only
3025	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	Fossil Brown coal/Lignite	352.0		2022-01-01 06:01:43	left_only
3026	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	Hydro Water Reservoir	676.0		2022-01-01 06:01:43	left_only
3027	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	Fossil Brown coal/Lignite	352.0		2022-01-01 06:01:43	left_only
3028	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	Fossil Oil	0.0		2022-01-01 06:01:43	left_only
3029	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	Fossil Oil	0.0		2022-01-01 06:01:43	left_only
3030	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Waste	400.46	0.25	2022-01-29 03:02:07	left_only
3031	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Waste	408.58	0.25	2022-01-29 03:19:01	left_only
3032	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Waste	411.85	0.37	2022-01-29 03:31:14	left_only
3033	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Waste	410.01	0.13	2022-01-29 03:48:39	left_only
3034	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Onshore	1266.95	0.03	2022-01-29 03:02:04	left_only
3035	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Onshore	1250.21	0.02	2022-01-29 03:19:03	left_only
3036	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Onshore	1287.09	0.01	2022-01-29 03:31:13	left_only
3037	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Onshore	1342.35	0.03	2022-01-29 03:48:36	left_only
3038	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Gas	1928.99	259.4	2022-01-29 03:02:05	left_only
3039	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Gas	2037.51	258.75	2022-01-29 03:19:02	left_only
3040	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Gas	1994.31	259.01	2022-01-29 03:31:14	left_only
3041	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Gas	1863.59	258.22	2022-01-29 03:48:38	left_only
3042	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Offshore	1524.14	9.22	2022-01-29 03:02:06	left_only
3043	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Offshore	1399.71	10.12	2022-01-29 03:19:04	left_only
3044	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Offshore	1412.18	10.23	2022-01-29 03:31:12	left_only
3045	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Wind Offshore	1380.76	7.5	2022-01-29 03:48:39	left_only
3046	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Biomass	20.98	0.0	2022-01-29 03:02:07	left_only
3047	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Biomass	21.94	0.0	2022-01-29 03:19:03	left_only
3048	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Biomass	21.45	0.0	2022-01-29 03:31:11	left_only
3049	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Biomass	21.45	0.0	2022-01-29 03:48:37	left_only
3050	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Hard coal	2178.78	1.22	2022-01-29 03:02:05	left_only
3051	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Hard coal	2106.69	1.5	2022-01-29 03:19:03	left_only
3052	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Hard coal	2091.7	1.5	2022-01-29 03:31:17	left_only
3053	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Fossil Hard coal	2061.64	1.61	2022-01-29 03:48:37	left_only
3054	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:55	left_only
3055	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:55	left_only
3056	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:55	left_only
3057	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:55	left_only
3058	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Solar	0.0	0.7	2022-01-29 03:02:06	left_only
3059	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Solar	0.0	0.74	2022-01-29 03:19:03	left_only
3060	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Solar	0.0	0.72	2022-01-29 03:31:09	left_only
3061	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Solar	0.0	0.74	2022-01-29 03:48:37	left_only
3062	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Nuclear	485.42	0.0	2022-01-29 03:02:08	left_only
3063	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Nuclear	485.4	0.0	2022-01-29 03:19:05	left_only
3064	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Nuclear	485.35	0.0	2022-01-29 03:31:15	left_only
3065	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Nuclear	485.31	0.0	2022-01-29 03:48:37	left_only
3066	2022-01-01 01:00:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Waste	400.46	0.25	2022-01-29 03:02:17	left_only
3067	2022-01-01 01:15:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Waste	408.58	0.25	2022-01-29 03:19:21	left_only
3068	2022-01-01 01:30:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Waste	411.85	0.37	2022-01-29 03:31:23	left_only
3069	2022-01-01 01:45:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Waste	410.01	0.13	2022-01-29 03:48:43	left_only
3070	2022-01-01 01:00:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Nuclear	485.42	0.0	2022-01-29 03:02:15	left_only
3071	2022-01-01 01:15:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Nuclear	485.4	0.0	2022-01-29 03:19:15	left_only
3072	2022-01-01 01:30:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Nuclear	485.35	0.0	2022-01-29 03:31:21	left_only
3073	2022-01-01 01:45:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Nuclear	485.31	0.0	2022-01-29 03:48:52	left_only
3074	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	400.46	0.25	2022-01-29 03:02:14	left_only
3075	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	408.58	0.25	2022-01-29 03:19:20	left_only
3076	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	411.85	0.37	2022-01-29 03:31:20	left_only
3077	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	410.01	0.13	2022-01-29 03:48:44	left_only
3078	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	485.42	0.0	2022-01-29 03:02:14	left_only
3079	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	485.4	0.0	2022-01-29 03:19:14	left_only
3080	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	485.35	0.0	2022-01-29 03:31:22	left_only
3081	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	485.31	0.0	2022-01-29 03:48:48	left_only
3082	2022-01-01 01:00:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:59	left_only
3083	2022-01-01 01:15:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:59	left_only
3084	2022-01-01 01:30:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:59	left_only
3085	2022-01-01 01:45:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:18:59	left_only
3086	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	2178.78	1.22	2022-01-29 03:02:13	left_only
3087	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	2106.69	1.5	2022-01-29 03:19:17	left_only
3088	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	2091.7	1.5	2022-01-29 03:31:31	left_only
3089	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	2061.64	1.61	2022-01-29 03:48:51	left_only
3090	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1266.95	0.03	2022-01-29 03:02:17	left_only
3091	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1250.21	0.02	2022-01-29 03:19:17	left_only
3092	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1287.09	0.01	2022-01-29 03:31:24	left_only
3093	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1342.35	0.03	2022-01-29 03:48:49	left_only
3094	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:19:00	left_only
3095	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:19:00	left_only
3096	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:19:00	left_only
3097	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 19:19:00	left_only
3098	2022-01-01 01:00:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Wind Onshore	1266.95	0.03	2022-01-29 03:02:15	left_only
3099	2022-01-01 01:15:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Wind Onshore	1250.21	0.02	2022-01-29 03:19:13	left_only
3100	2022-01-01 01:30:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Wind Onshore	1287.09	0.01	2022-01-29 03:31:21	left_only
3101	2022-01-01 01:45:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Wind Onshore	1342.35	0.03	2022-01-29 03:48:50	left_only
3102	2022-01-01 01:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1928.99	259.4	2022-01-29 03:02:16	left_only
3103	2022-01-01 01:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	2037.51	258.75	2022-01-29 03:19:14	left_only
3104	2022-01-01 01:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1994.31	259.01	2022-01-29 03:31:23	left_only
3105	2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1863.59	258.22	2022-01-29 03:48:50	left_only
3106	2022-01-01 01:00:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Fossil Hard coal	2178.78	1.22	2022-01-29 03:02:10	left_only
3107	2022-01-01 01:15:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Fossil Hard coal	2106.69	1.5	2022-01-29 03:19:14	left_only
3108	2022-01-01 01:30:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Fossil Hard coal	2091.7	1.5	2022-01-29 03:31:27	left_only
