DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Fossil Hard coal	0.0	0.0	2022-01-01 21:08:46
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Fossil Hard coal	0.0	0.0	2022-01-01 21:08:46
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Run-of-river and poundage	178.0	1.6	2022-02-26 12:34:55
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Run-of-river and poundage	185.7	1.5	2022-02-12 14:41:11
2022-01-01 08:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Wind Onshore	7.2		2022-02-10 12:03:35
2022-01-01 09:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Wind Onshore	8.72		2022-02-10 12:03:35
2022-01-01 08:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Solar	23.87		2022-02-10 12:04:08
2022-01-01 09:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Solar	133.96		2022-02-10 12:04:08
2022-01-01 08:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Other	695.48		2022-01-12 08:54:13
2022-01-01 09:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Other	601.86		2022-01-12 08:54:13
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1202.31	0.02	2022-01-29 11:26:19
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1235.63	0.01	2022-01-29 11:46:30
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1871.93	5.01	2022-01-29 11:26:20
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1907.25	18.06	2022-01-29 11:46:26
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	423.13	1.0	2022-01-29 11:26:22
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	417.84	1.0	2022-01-29 11:46:27
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1478.77	170.25	2022-01-29 11:26:22
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1446.77	170.07	2022-01-29 11:46:22
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 17:54:01
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	2022-01-03 17:54:01
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1730.31	2.35	2022-01-29 11:26:23
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1733.62	2.2	2022-01-29 11:46:22
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	21.21	0.0	2022-01-29 11:26:24
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	20.78	0.0	2022-01-29 11:46:31
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	20.11	0.0	2022-01-29 11:26:27
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	25.96	0.0	2022-01-29 11:46:25
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.71	0.0	2022-01-29 11:26:25
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.8	0.0	2022-01-29 11:46:29
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Biomass	649.0		2022-01-28 10:51:34
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Biomass	647.0		2022-01-28 10:51:34
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Gas	4073.0		2022-02-10 09:41:03
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Gas	4435.0		2022-02-10 09:41:03
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Waste	34.0		2022-01-28 10:51:37
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Waste	33.0		2022-01-28 10:51:37
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Hydro Pumped Storage	0.0	632.0	2022-01-28 10:51:37
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Hydro Pumped Storage	88.0	45.0	2022-01-28 10:51:37
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Hard coal	1251.0		2022-01-28 10:51:38
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Hard coal	1158.0		2022-01-28 10:51:38
2022-01-01 08:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Oil	29.0		2022-01-28 10:51:38
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	Fossil Oil	29.0		2022-01-28 10:51:38
